Id,Title,Body,Category,Priority
0,Verifica documentazione amministrativa,Si richiede una revisione dei contratti aziendali per aggiornare le clausole e garantire una maggiore tutela legale,Amministrazione,media
1,Problema rete interna,Il server principale mostra rallentamenti significativi e richiede una verifica tecnica approfondita per evitare possibili interruzioni,Tecnico,alta
2,Analisi costi operativi,Il dipendente richiede una revisione completa delle procedure interne per migliorare la gestione dei flussi amministrativi e garantire maggiore efficienza operativa,Amministrazione,alta
3,Studio mercato di riferimento,Il team commerciale deve studiare il mercato di riferimento per identificare nuove opportunita e migliorare la strategia di vendita,Commerciale,alta
4,Problema rete interna,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,alta
5,Analisi costi operativi,Occorre gestire una serie di pratiche interne che richiedono coordinamento tra diversi reparti per evitare ritardi nelle attivita,Amministrazione,alta
6,Aggiornamento listino prodotti,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,alta
7,Analisi malfunzionamento applicativo,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,alta
8,Aggiornamento software gestionale,Diversi utenti segnalano difficolta di accesso al sistema e il tecnico deve analizzare il problema per ripristinare la piena funzionalita del servizio,Tecnico,media
9,Studio mercato di riferimento,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
10,Pianificazione incontro vendita,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,media
11,Aggiornamento software gestionale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
12,Verifica server principale,Un applicativo aziendale presenta un malfunzionamento che impedisce agli utenti di completare alcune operazioni fondamentali,Tecnico,bassa
13,Aggiornamento listino prodotti,Occorre aggiornare il listino prodotti per riflettere le nuove condizioni commerciali e garantire trasparenza verso i clienti,Commerciale,alta
14,Aggiornamento listino prodotti,Il reparto vendite deve preparare una proposta dettagliata per un nuovo cliente includendo analisi dei costi benefici e descrizione dei servizi offerti,Commerciale,alta
15,Aggiornamento software gestionale,Il software gestionale necessita di un aggiornamento per correggere errori e migliorare le prestazioni complessive del sistema,Tecnico,alta
16,Analisi richieste cliente,Il cliente ha richiesto informazioni aggiuntive e occorre analizzare le sue esigenze per formulare una risposta adeguata,Commerciale,bassa
